Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:42:37.559813,11:42:56.402506,-1,-1.0
1,11:42:37.559813,11:42:56.551227,-1,-1.0
1,11:42:37.559813,11:42:56.708124,-1,-1.0
1,11:42:37.559813,11:42:56.870999,-1,-1.0
1,11:42:37.559813,11:42:57.010010,-1,-1.0
1,11:42:37.559813,11:42:57.162260,-1,-1.0
1,11:42:37.559813,11:42:57.318724,-1,-1.0
1,11:42:37.559813,11:42:57.475349,-1,-1.0
1,11:42:37.559813,11:42:57.641784,-1,-1.0
1,11:42:37.559813,11:42:57.790222,-1,-1.0
1,11:42:37.559813,11:42:57.939854,-1,-1.0
1,11:42:37.559813,11:42:58.089676,-1,-1.0
1,11:42:37.559813,11:42:58.246708,-1,-1.0
1,11:42:37.559813,11:42:58.401946,-1,-1.0
1,11:42:37.559813,11:42:58.559034,-1,-1.0
1,11:42:37.559813,11:42:58.697296,-1,-1.0
1,11:42:37.559813,11:42:58.847972,-1,-1.0
1,11:42:37.559813,11:42:58.985468,-1,-1.0
1,11:42:37.559813,11:42:59.125932,-1,-1.0
1,11:42:37.559813,11:42:59.265841,-1,-1.0
1,11:42:37.559813,11:42:59.398628,-1,-1.0
1,11:42:37.559813,11:42:59.540496,-1,-1.0
1,11:42:37.559813,11:42:59.679398,-1,-1.0
1,11:42:37.559813,11:42:59.831442,-1,-1.0
1,11:42:37.559813,11:42:59.973345,-1,-1.0
1,11:42:37.559813,11:43:00.137574,-1,-1.0
1,11:42:37.559813,11:43:00.262607,-1,-1.0
1,11:42:37.559813,11:43:00.413676,-1,-1.0
1,11:42:37.559813,11:43:00.572530,-1,-1.0
1,11:42:37.559813,11:43:00.739575,-1,-1.0
1,11:42:37.559813,11:43:00.881224,1,-1.0
1,11:42:37.559813,11:43:01.020642,1,-1.0
1,11:42:37.559813,11:43:01.160349,1,-1.0
1,11:42:37.559813,11:43:01.300410,1,-1.0
1,11:42:37.559813,11:43:01.430228,1,-1.0
1,11:42:37.559813,11:43:01.569398,1,-1.0
1,11:42:37.559813,11:43:01.697954,1,-1.0
1,11:42:37.559813,11:43:01.822960,1,-1.0
1,11:42:37.559813,11:43:01.960509,1,-1.0
1,11:42:37.559813,11:43:02.100207,1,-1.0
1,11:42:37.559813,11:43:02.217440,1,-1.0
1,11:42:37.559813,11:43:02.356391,1,-1.0
1,11:42:37.559813,11:43:02.495633,1,-1.0
1,11:42:37.559813,11:43:02.644943,1,-1.0
1,11:42:37.559813,11:43:02.782076,1,-1.0
1,11:42:37.559813,11:43:02.931496,1,-1.0
1,11:42:37.559813,11:43:03.059745,1,-1.0
1,11:42:37.559813,11:43:03.199312,1,-1.0
1,11:42:37.559813,11:43:03.348460,1,-1.0
1,11:42:37.559813,11:43:03.495058,1,-1.0
1,11:42:37.559813,11:43:03.642078,1,-1.0
1,11:42:37.559813,11:43:03.793257,1,-1.0
1,11:42:37.559813,11:43:03.921115,1,-1.0
1,11:42:37.559813,11:43:04.049279,1,-1.0
1,11:42:37.559813,11:43:04.187674,1,-1.0
1,11:42:37.559813,11:43:04.337802,1,-1.0
1,11:42:37.559813,11:43:04.695283,1,-1.0
1,11:42:37.559813,11:43:04.937933,1,-1.0
1,11:42:37.559813,11:43:05.073558,1,-1.0
1,11:42:37.559813,11:43:05.201330,1,-1.0
1,11:42:37.559813,11:43:05.513634,1,-1.0
1,11:42:37.559813,11:43:05.695167,1,-1.0
1,11:42:37.559813,11:43:05.829955,1,-1.0
1,11:42:37.559813,11:43:05.966170,1,-1.0
1,11:42:37.559813,11:43:06.090887,1,-1.0
1,11:42:37.559813,11:43:06.239125,1,-1.0
1,11:42:37.559813,11:43:06.377631,1,-1.0
1,11:42:37.559813,11:43:06.524668,1,-1.0
1,11:42:37.559813,11:43:06.673759,1,-1.0
1,11:42:37.559813,11:43:06.712865,-1,-1.0
1,11:42:37.559813,11:43:06.824626,-1,-1.0
1,11:42:37.559813,11:43:06.982587,-1,-1.0
1,11:42:37.559813,11:43:07.143531,-1,-1.0
1,11:42:37.559813,11:43:07.299846,-1,-1.0
1,11:42:37.559813,11:43:07.443730,-1,-1.0
1,11:42:37.559813,11:43:07.593544,-1,-1.0
1,11:42:37.559813,11:43:07.742824,-1,-1.0
1,11:42:37.559813,11:43:07.889533,-1,-1.0
1,11:42:37.559813,11:43:08.038007,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:43:08.040856,11:43:08.186031,-1,-1.0
2,11:43:08.040856,11:43:08.334758,-1,-1.0
2,11:43:08.040856,11:43:08.479306,-1,-1.0
2,11:43:08.040856,11:43:08.628295,1,-1.0
2,11:43:08.040856,11:43:08.765980,1,-1.0
2,11:43:08.040856,11:43:08.913876,1,-1.0
2,11:43:08.040856,11:43:09.049491,1,-1.0
2,11:43:08.040856,11:43:09.200451,1,-1.0
2,11:43:08.040856,11:43:09.345964,1,-1.0
2,11:43:08.040856,11:43:09.513745,1,-1.0
2,11:43:08.040856,11:43:09.671272,1,-1.0
2,11:43:08.040856,11:43:09.831003,1,-1.0
2,11:43:08.040856,11:43:09.993705,1,-1.0
2,11:43:08.040856,11:43:10.153084,-1,-1.0
2,11:43:08.040856,11:43:10.311092,-1,-1.0
2,11:43:08.040856,11:43:10.471265,-1,-1.0
2,11:43:08.040856,11:43:10.641853,-1,-1.0
2,11:43:08.040856,11:43:10.812263,-1,-1.0
2,11:43:08.040856,11:43:10.983028,-1,-1.0
2,11:43:08.040856,11:43:11.145730,-1,-1.0
2,11:43:08.040856,11:43:11.305763,-1,-1.0
2,11:43:08.040856,11:43:11.454562,-1,-1.0
2,11:43:08.040856,11:43:11.622953,-1,-1.0
2,11:43:08.040856,11:43:11.772285,-1,-1.0
2,11:43:08.040856,11:43:11.931896,-1,-1.0
2,11:43:08.040856,11:43:12.070086,-1,-1.0
2,11:43:08.040856,11:43:12.233597,-1,-1.0
2,11:43:08.040856,11:43:12.393569,-1,-1.0
2,11:43:08.040856,11:43:12.552935,-1,-1.0
2,11:43:08.040856,11:43:12.711802,-1,-1.0
2,11:43:08.040856,11:43:12.881295,-1,-1.0
2,11:43:08.040856,11:43:13.041321,-1,-1.0
2,11:43:08.040856,11:43:13.211443,-1,-1.0
2,11:43:08.040856,11:43:13.395777,-1,-1.0
2,11:43:08.040856,11:43:13.565948,-1,-1.0
2,11:43:08.040856,11:43:13.737577,-1,-1.0
2,11:43:08.040856,11:43:13.894236,-1,-1.0
2,11:43:08.040856,11:43:14.038727,-1,-1.0
2,11:43:08.040856,11:43:14.207236,-1,-1.0
2,11:43:08.040856,11:43:14.380299,-1,-1.0
2,11:43:08.040856,11:43:14.542410,-1,-1.0
2,11:43:08.040856,11:43:14.712876,-1,-1.0
2,11:43:08.040856,11:43:14.872354,-1,-1.0
2,11:43:08.040856,11:43:15.046597,-1,-1.0
2,11:43:08.040856,11:43:15.196349,-1,-1.0
2,11:43:08.040856,11:43:15.409374,-1,-1.0
2,11:43:08.040856,11:43:15.558668,-1,-1.0
2,11:43:08.040856,11:43:15.732019,-1,-1.0
2,11:43:08.040856,11:43:15.879041,1,-1.0
2,11:43:08.040856,11:43:16.050979,1,-1.0
2,11:43:08.040856,11:43:16.220048,1,-1.0
2,11:43:08.040856,11:43:16.380377,1,-1.0
2,11:43:08.040856,11:43:16.529535,1,-1.0
2,11:43:08.040856,11:43:16.690564,1,-1.0
2,11:43:08.040856,11:43:16.849012,1,-1.0
2,11:43:08.040856,11:43:17.009311,1,-1.0
2,11:43:08.040856,11:43:17.169718,1,-1.0
2,11:43:08.040856,11:43:17.318576,1,-1.0
2,11:43:08.040856,11:43:17.465672,1,-1.0
2,11:43:08.040856,11:43:17.618981,1,-1.0
2,11:43:08.040856,11:43:17.775235,1,-1.0
2,11:43:08.040856,11:43:17.931255,1,-1.0
2,11:43:08.040856,11:43:18.085420,1,-1.0
2,11:43:08.040856,11:43:18.241606,1,-1.0
2,11:43:08.040856,11:43:18.401998,1,-1.0
2,11:43:08.040856,11:43:18.552013,1,-1.0
2,11:43:08.040856,11:43:18.708333,1,-1.0
2,11:43:08.040856,11:43:18.867591,1,-1.0
2,11:43:08.040856,11:43:19.025774,1,-1.0
2,11:43:08.040856,11:43:19.184157,1,-1.0
2,11:43:08.040856,11:43:19.334604,1,-1.0
2,11:43:08.040856,11:43:19.492870,1,-1.0
2,11:43:08.040856,11:43:19.653224,1,-1.0
2,11:43:08.040856,11:43:19.809824,1,-1.0
2,11:43:08.040856,11:43:19.956078,1,-1.0
2,11:43:08.040856,11:43:20.105451,1,-1.0
2,11:43:08.040856,11:43:20.254971,1,-1.0
2,11:43:08.040856,11:43:20.424802,1,-1.0
2,11:43:08.040856,11:43:20.585132,1,-1.0
2,11:43:08.040856,11:43:20.745894,1,-1.0
2,11:43:08.040856,11:43:20.898737,1,-1.0
2,11:43:08.040856,11:43:21.033169,1,-1.0
2,11:43:08.040856,11:43:21.180487,1,-1.0
2,11:43:08.040856,11:43:21.352581,1,-1.0
2,11:43:08.040856,11:43:21.501002,1,-1.0
2,11:43:08.040856,11:43:21.682081,1,-1.0
2,11:43:08.040856,11:43:21.798369,1,-1.0
2,11:43:08.040856,11:43:22.590713,1,-1.0
2,11:43:08.040856,11:43:26.773075,1,-1.0
